,주소,위도,경도
0,대한민국 서울특별시 종로구 종로1.2.3.4가동 종로 1,37.5709641,126.9777645
1,대한민국 서울특별시 종로구 관철동 45-6,37.5695623,126.9835245
2,대한민국 서울특별시 중구 명동 세종대로 110,37.5662952,126.9779451
3,대한민국 서울특별시 중구 을지로동 42 을지로입구,37.566056,126.982662
4,대한민국 서울특별시 중구 다동 140,37.56711810000001,126.9811081
5,대한민국 서울특별시 중구 을지로2가 을지로 35,37.5664021,126.9818843
6,대한민국 서울특별시 중구 장교동 1,37.567118,126.987052
7,대한민국 서울특별시 중구 광희동 장충단로 275,37.5691357,127.0090702
8,대한민국 서울특별시 동작구 남영동 여성프라자 서울역,37.5536067,126.9696195
9,대한민국 서울특별시 동작구 남영동 여성프라자 서울역,37.5536067,126.9696195
10,대한민국 서울특별시 중구 남영동 한강대로 405,37.5540905,126.9715258
11,대한민국 서울특별시 성동구 행당동 고산자로 270,37.5630725,127.0366688
12,대한민국 서울특별시 행당동 왕십리광장,37.5612515,127.036774
13,대한민국 서울특별시 행당동 왕십리민자역사,37.561837,127.037797
14,대한민국 서울특별시 광진구 구의동 546-1,37.5336221,127.0932287
15,대한민국 서울특별시 광진구 화양동 102 화양현대아파트 건대입구,37.540781,127.07105
16,대한민국 서울특별시 서대문구 충현동 통일로 87,37.5627523,126.9685162
17,대한민국 서울특별시 서대문구 대현동 신촌로 197,37.5571368,126.947963
18,대한민국 서울특별시 서대문구 성산로,37.5646005,126.9376639
19,대한민국 서울특별시 서대문구 충정로3가 충정로 23,37.56113930000001,126.9629482
20,대한민국 서울특별시 서대문구 충현동 충정로 60,37.563776,126.9662688
21,대한민국 서울특별시 서대문구 충현동 충정로 70,37.5647724,126.966349
22,대한민국 서울특별시 마포구 성산2동 월드컵로 212,37.5662001,126.9016437
23,대한민국 서울특별시 구로구 고척동 경인로 445,37.5004101,126.8677806
24,대한민국 서울특별시 서초구 서초동 1303-3,37.503795,127.023482
25,대한민국 서울특별시 서초구 양재동 23,37.4832682,127.0344664
26,대한민국 서울특별시 서초구 반포동 신반포로 176,37.5047608,127.0041098
27,대한민국 서울특별시 서초구 반포동 신반포로 194 서울고속버스터미널,37.5054076,127.0070817
28,대한민국 서울특별시 서초구 반포동 신반포로 194 서울고속버스터미널,37.5054076,127.0070817
29,대한민국 서울특별시 서초동 서울남부터미널,37.484235,127.016054
30,대한민국 서울특별시 서초구 방배동 2515,37.4750885,126.9819861
31,대한민국 서울특별시 강남구 삼성동 영동대로 513,37.5099852,127.061409
32,대한민국 서울특별시 강남구 삼성동 159 코엑스몰 아셈타워,37.513172,127.059803
33,대한민국 서울특별시 강남구 삼성동 영동대로 513,37.5130556,127.0586111
34,대한민국 서울특별시 송파구 문정2동 충민로 66,37.4776339,127.1249432
35,대한민국 서울특별시 송파구 문정2동 충민로 66,37.4776339,127.1249432
36,대한민국 서울특별시 송파구 잠실7동 올림픽로 25,37.5122579,127.0719011
37,대한민국 서울특별시 송파구 잠실7동 올림픽로 25,37.5122579,127.0719011
38,대한민국 서울특별시 송파구 잠실7동 올림픽로 25,37.5122579,127.0719011
39,대한민국 서울특별시 송파구 잠실7동 올림픽로 25,37.5122579,127.0719011
40,대한민국 서울특별시 송파구 잠실7동 올림픽로 25,37.5122579,127.0719011
41,대한민국 서울특별시 송파구 신천동 올림픽로 300,37.5135884,127.1047373
42,대한민국 서울특별시 송파구 신천동 올림픽로 300,37.5135884,127.1047373
