구,인구수,흡연률,흡연자수,흡연구역,금연구역,단속건수,과태료,직장인의료보험가입자수,단속건수정렬,대수,,,,,,,,,,,,,,,
종로구,162413,19.8,32158,184,10686,2514,251400,52489,3,3.331934026,,,,,,,,,,,,,,,
중구,136276,25,34069,422,12480,4293,364060,46611,4,4.013939192,,,,,,,,,,,,,,,
용산구,245069,18.8,46073,212,8102,918,91800,81397,1,3.976571174,,,,,,,,,,,,,,,
성동구,312991,20.4,63850,255,7620,2153,205400,109503,3,5.772510322,,,,,,,,,,,,,,,
광진구,369470,22.8,84239,158,9982,2384,238400,127871,3,7.480239466,,,,,,,,,,,,,,,
동대문구,363101,18.8,68263,393,9852,2123,202900,109580,3,6.118371755,,,,,,,,,,,,,,,
중랑구,405639,22.9,92891,248,7202,957,91000,126852,1,7.751965606,,,,,,,,,,,,,,,
성북구,452292,20.6,93172,231,10538,1525,144250,138206,2,7.943255795,,,,,,,,,,,,,,,
강북구,319377,25.7,82080,350,7400,1126,109320,93312,2,6.933037589,,,,,,,,,,,,,,,
도봉구,339001,21.1,71529,227,6257,1145,109975,107790,2,6.090460557,,,,,,,,,,,,,,,
노원구,542603,19.5,105808,70,11074,10675,763750,179286,5,11.67670735,,,,,,,,,,,,,,,
은평구,488285,23.3,113770,365,10018,1524,152400,158001,2,9.598881346,,,,,,,,,,,,,,,
서대문구,324304,21.1,68428,240,8583,925,77700,104458,1,5.775822219,,,,,,,,,,,,,,,
마포구,385985,17.8,68705,253,15105,1061,106000,139145,2,5.838483852,,,,,,,,,,,,,,,
양천구,465095,16.7,77671,134,9788,2838,214459,164444,3,7.087063353,,,,,,,,,,,,,,,
강서구,602230,19.8,119242,453,13883,2441,242700,219620,3,10.31114387,,,,,,,,,,,,,,,
구로구,439328,18.7,82154,250,10036,2012,192125,148338,3,7.202134751,,,,,,,,,,,,,,,
금천구,254061,23.8,60467,121,6657,2013,196850,82881,3,5.458961881,,,,,,,,,,,,,,,
영등포구,404229,17.2,69527,491,13881,16173,1617300,144237,5,10.39293487,,,,,,,,,,,,,,,
동작구,412000,18.4,75808,165,8653,1377,136710,142725,2,6.50336522,,,,,,,,,,,,,,,
관악구,519864,23.5,122168,379,10616,1977,192770,181434,2,10.40856081,,,,,,,,,,,,,,,
서초구,435631,16.3,71008,244,16289,57027,3128700,176176,6,22.64591642,,,,,,,,,,,,,,,
강남구,547602,19.9,108973,205,29565,4328,429050,223122,4,10.04604641,,,,,,,,,,,,,,,
송파구,686181,16.1,110475,145,16997,6994,683950,248048,4,10.95861622,,,,,,,,,,,,,,,
강동구,428547,15.8,67710,5,10963,4174,398400,151360,4,6.683075939,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
종로구,,,,,,,,,,,,,,,,,,,,,,,,,
중구,,,,,,,,,,,,,,,,,,,,,,,,,
용산구,,,,,,,,,,,,,,,,,,,,,,,,,
성동구,,,,,,,,,,,,,,,,,,,,,,,,,
광진구,,,,,,,,,,,,,,,,,,,,,,,,,
동대문구,,,,,,,,,,,,,,,,,,,,,,,,,
중랑구,,,,,,,,,,,,,,,,,,,,,,,,,
성북구,,,,,,,,,,,,,,,,,,,,,,,,,
강북구,,,,,,,,,,,,,,,,,,,,,,,,,
도봉구,,,,,,,,,,,,,,,,,,,,,,,,,
노원구,,,,,,,,,,,,,,,,,,,,,,,,,
은평구,,,,,,,,,,,,,,,,,,,,,,,,,
서대문구,,,,,,,,,,,,,,,,,,,,,,,,,
마포구,,,,,,,,,,,,,,,,,,,,,,,,,
양천구,,,,,,,,,,,,,,,,,,,,,,,,,
강서구,,,,,,,,,,,,,,,,,,,,,,,,,
구로구,,,,,,,,,,,,,,,,,,,,,,,,,
금천구,,,,,,,,,,,,,,,,,,,,,,,,,
영등포구,,,,,,,,,,,,,,,,,,,,,,,,,
동작구,,,,,,,,,,,,,,,,,,,,,,,,,
관악구,,,,,,,,,,,,,,,,,,,,,,,,,
서초구,,,,,,,,,,,,,,,,,,,,,,,,,
강남구,,,,,,,,,,,,,,,,,,,,,,,,,
송파구,,,,,,,,,,,,,,,,,,,,,,,,,
강동구,,,,,,,,,,,,,,,,,,,,,,,,,
